,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
27,"(1.78125, 1.47265625)","(1.78125, 1.9140625)","(1.3984375, 1.91015625)","(1.09375, 2.36328125)","(1.0546875, 2.87890625)","(2.15625, 1.91796875)","(2.39453125, 2.40625)","(2.48046875, 2.91015625)","(1.49609375, 2.70703125)","(1.19140625, 3.28515625)","(1.31640625, 4.14453125)","(2.00390625, 2.75)","(2.3203125, 3.26953125)","(2.23046875, 4.15625)","(1.70703125, 1.41015625)","(1.8515625, 1.41015625)","(1.5859375, 1.50390625)","(1.953125, 1.48046875)"
28,"(1.78125, 1.33203125)","(1.78125, 1.81640625)","(1.3984375, 1.81640625)","(1.1015625, 2.2734375)","(1.0546875, 2.796875)","(2.15234375, 1.8125)","(2.39453125, 2.296875)","(2.48046875, 2.8203125)","(1.48828125, 2.73828125)","(1.1640625, 3.33984375)","(1.3203125, 4.1640625)","(2.0, 2.7734375)","(2.3359375, 3.359375)","(2.22265625, 4.16015625)","(1.703125, 1.2734375)","(1.8515625, 1.26953125)","(1.58203125, 1.3828125)","(1.953125, 1.35546875)"
29,"(1.78125, 1.33203125)","(1.77734375, 1.8125)","(1.3984375, 1.81640625)","(1.1015625, 2.2734375)","(1.05859375, 2.796875)","(2.15234375, 1.8125)","(2.39453125, 2.296875)","(2.48046875, 2.8203125)","(1.4921875, 2.73828125)","(1.1640625, 3.33984375)","(1.3203125, 4.1640625)","(2.0, 2.76953125)","(2.3359375, 3.359375)","(2.22265625, 4.16015625)","(1.703125, 1.2734375)","(1.8515625, 1.26953125)","(1.58203125, 1.38671875)","(1.953125, 1.35546875)"
30,"(1.78125, 1.21484375)","(1.78515625, 1.72265625)","(1.390625, 1.71875)","(1.1015625, 2.18359375)","(1.05859375, 2.73046875)","(2.15625, 1.72265625)","(2.39453125, 2.20703125)","(2.48046875, 2.75390625)","(1.51171875, 2.734375)","(1.171875, 3.3671875)","(1.3203125, 4.171875)","(2.00390625, 2.7578125)","(2.328125, 3.3671875)","(2.21484375, 4.16796875)","(1.703125, 1.15625)","(1.84765625, 1.1484375)","(1.5859375, 1.265625)","(1.95703125, 1.234375)"
31,"(1.78125, 1.21484375)","(1.78515625, 1.71875)","(1.390625, 1.71875)","(1.1015625, 2.18359375)","(1.05859375, 2.73046875)","(2.16015625, 1.72265625)","(2.39453125, 2.20703125)","(2.48046875, 2.7578125)","(1.51171875, 2.734375)","(1.171875, 3.37109375)","(1.3203125, 4.171875)","(2.00390625, 2.7578125)","(2.328125, 3.3671875)","(2.21484375, 4.16796875)","(1.703125, 1.15625)","(1.84765625, 1.1484375)","(1.5859375, 1.265625)","(1.95703125, 1.234375)"
32,"(1.78125, 1.21484375)","(1.78515625, 1.71875)","(1.39453125, 1.71484375)","(1.1015625, 2.18359375)","(1.05859375, 2.7265625)","(2.15625, 1.72265625)","(2.39453125, 2.20703125)","(2.4765625, 2.74609375)","(1.51171875, 2.73046875)","(1.171875, 3.3671875)","(1.3203125, 4.171875)","(2.00390625, 2.7578125)","(2.328125, 3.36328125)","(2.21484375, 4.16796875)","(1.703125, 1.15625)","(1.84765625, 1.1484375)","(1.5859375, 1.265625)","(1.95703125, 1.234375)"
33,"(1.78125, 1.21484375)","(1.78515625, 1.71875)","(1.39453125, 1.71484375)","(1.1015625, 2.1875)","(1.05859375, 2.7265625)","(2.15625, 1.72265625)","(2.39453125, 2.20703125)","(2.4765625, 2.74609375)","(1.51171875, 2.734375)","(1.171875, 3.3671875)","(1.3203125, 4.171875)","(2.00390625, 2.7578125)","(2.328125, 3.3671875)","(2.21484375, 4.16796875)","(1.703125, 1.15625)","(1.84765625, 1.1484375)","(1.5859375, 1.265625)","(1.95703125, 1.234375)"
34,"(1.78125, 1.09765625)","(1.7890625, 1.60546875)","(1.3984375, 1.6015625)","(1.1171875, 2.078125)","(1.0625, 2.60546875)","(2.1640625, 1.609375)","(2.390625, 2.11328125)","(2.47265625, 2.62890625)","(1.515625, 2.69921875)","(1.1953125, 3.3828125)","(1.32421875, 4.16796875)","(2.0234375, 2.7109375)","(2.32421875, 3.375)","(2.21875, 4.1640625)","(1.70703125, 1.0390625)","(1.8515625, 1.03515625)","(1.58984375, 1.15234375)","(1.95703125, 1.125)"
35,"(1.78125, 1.09765625)","(1.7890625, 1.60546875)","(1.3984375, 1.59765625)","(1.1171875, 2.078125)","(1.0625, 2.60546875)","(2.1640625, 1.609375)","(2.390625, 2.11328125)","(2.47265625, 2.62890625)","(1.515625, 2.703125)","(1.1953125, 3.3828125)","(1.32421875, 4.16796875)","(2.02734375, 2.71484375)","(2.32421875, 3.375)","(2.21875, 4.1640625)","(1.70703125, 1.0390625)","(1.8515625, 1.03515625)","(1.58984375, 1.15234375)","(1.95703125, 1.125)"
36,"(1.796875, 0.99609375)","(1.7890625, 1.48828125)","(1.3984375, 1.48046875)","(1.125, 1.984375)","(1.0625, 2.49609375)","(2.16796875, 1.48828125)","(2.3984375, 2.01171875)","(2.46484375, 2.48828125)","(1.53125, 2.609375)","(1.21875, 3.35546875)","(1.3203125, 4.1484375)","(2.03125, 2.640625)","(2.296875, 3.3359375)","(2.22265625, 4.15625)","(1.71875, 0.93359375)","(1.8671875, 0.93359375)","(1.58984375, 1.03515625)","(1.96484375, 1.01171875)"
37,"(1.796875, 0.99609375)","(1.7890625, 1.48828125)","(1.3984375, 1.48046875)","(1.125, 1.984375)","(1.0625, 2.5)","(2.16796875, 1.48828125)","(2.3984375, 2.015625)","(2.46484375, 2.48828125)","(1.53125, 2.60546875)","(1.21875, 3.3515625)","(1.3203125, 4.1484375)","(2.02734375, 2.640625)","(2.296875, 3.3359375)","(2.2265625, 4.15625)","(1.71875, 0.93359375)","(1.8671875, 0.93359375)","(1.58984375, 1.03515625)","(1.96484375, 1.015625)"
38,"(1.81640625, 0.9296875)","(1.78515625, 1.3828125)","(1.39453125, 1.375)","(1.13671875, 1.890625)","(1.06640625, 2.40625)","(2.171875, 1.3828125)","(2.3984375, 1.8828125)","(2.4765625, 2.41796875)","(1.53125, 2.52734375)","(1.27734375, 3.3046875)","(1.31640625, 4.14453125)","(2.02734375, 2.54296875)","(2.2265625, 3.30078125)","(2.2265625, 4.1484375)","(1.73046875, 0.8671875)","(1.8828125, 0.8671875)","(1.6015625, 0.953125)","(1.9765625, 0.9453125)"
